nid,uid,status,title,body,teaser,mp3_filename,mp3_filemime,mp3_filesize,mp3_status,mp3_timestamp,mp3_list,artiste,compositeur,taxonomy['tags']['3'],taxonomy['tags']['4']
1003,4,1,Et godt sted,"<p>Témoignage, extrait du documentaire radio <em>Et Godt sted</em> de Gyrid Listuen, NRK, 2007</p>","<p>Témoignage, extrait du documentaire radio <em>Et Godt sted</em> de Gyrid Listuen, NRK, 2007</p>",Et_godt_sted_0.mp3,audio/mpeg,1026265,1,1271082544,1,Gyrid Listuen,NULL,témoignage,hollandais
1004,4,1,F to M,"<p>Témoignage, extrait d'une vidéo postée sur Youtube, 2008</p>","<p>Témoignage, extrait d'une vidéo postée sur Youtube, 2008</p>",F_to_M.mp3,audio/mpeg,425294,1,1271082544,1,BillyJoel1985,NULL,Message,allemand
1005,4,1,Fraisi Poney,"<p>Fanny Charmont, spot publicitaire radio, années 2000</p>","<p>Fanny Charmont, spot publicitaire radio, années 2000</p>",Fraisi_Poney.mp3,audio/mpeg,180633,1,1271082546,1,Fanny Charmont,Grégory Castéra,Publicité,français
1006,4,1,Free Spirit,"<p>extrait de&nbsp; l'émission <em>Lynch+Sound</em> de Jeanne Robet, Arte Radio, 2007</p>","<p>extrait de&nbsp; l'émission <em>Lynch+Sound</em> de Jeanne Robet, Arte Radio, 2007</p>",Free_Spirit_0.mp3,audio/mpeg,967763,1,1271082547,1,Ingénieur du son,NULL,Radio,anglais
1007,4,1,Getting fit 'n having fun,"<p>Marie-Lou Retton, extrait de <em>Fantastic Family Fitness Fun Session</em>, 2007</p>","<p>Marie-Lou Retton, extrait de <em>Fantastic Family Fitness Fun Session</em>, 2007</p>",Getting_fit_n_having_fun.mp3,audio/mpeg,1385178,1,1271082549,1,Mary Lou Retton,Grégory Castéra,tutoriel,anglais
1008,4,1,He hadn't been there before,"<p>Cathy Berbérian, extrait de la pièce <em>Recital for Cathy</em> de Luciano Berio &amp; Kurt Weill, 1968-1972</p>","<p>Cathy Berbérian, extrait de la pièce <em>Recital for Cathy</em> de Luciano Berio &amp; Kurt Weill, 1968-1972</p>",He_hadnt_been_there_before_0.mp3,audio/mpeg,920663,1,1271082550,1,Cathy Berberian,NULL,Musique,anglais
1009,4,1,Hold & Release,"<p>Pierre Raymonde, extrait de <em>Erotic Aerobics</em> de Pierre Raymonde and Bugs Bower, 1982</p>","<p>Pierre Raymonde, extrait de <em>Erotic Aerobics</em> de Pierre Raymonde and Bugs Bower, 1982</p>",Hold__Release_0.mp3,audio/mpeg,740393,1,1271082551,1,Disque,NULL,tutoriel,anglais
1010,4,1,I come from...,"<p>Amy Walker, extrait de la vidéo <em>21 Accents</em> postée sur YouTube, 2008</p>","<p>Amy Walker, extrait de la vidéo <em>21 Accents</em> postée sur YouTube, 2008</p>",I_come_from....mp3,audio/mpeg,779658,1,1271082552,1,Amy Walker,Olivier Normand,performance,anglais
1012,4,1,J'me sens de plus en plus seule,"<p>Alexandra Viau, extrait de <em>Alexandra, une lettre d'amour audio</em> de Alexandra Viau et Cédric Chabuel, Arte Radio, 2003</p>","<p>Alexandra Viau, extrait de <em>Alexandra, une lettre d'amour audio</em> de Alexandra Viau et Cédric Chabuel, Arte Radio, 2003</p>",Jviens_juste_de_mreveiller.mp3,audio/mpeg,1346709,1,1271082554,1,Alexandra Viau,NULL,Message,français
1013,4,1,Je m'appelle Sylvie Caspar,"<p>Sylvie Caspar, extrait de <em>Sylvie, la voix d'Arte</em> de Sylvain Gire et Christophe Rault, Arte Radio, 2002</p>","<p>Sylvie Caspar, extrait de <em>Sylvie, la voix d'Arte</em> de Sylvain Gire et Christophe Rault, Arte Radio, 2002</p>",Je_mappelle_Sylvie_Caspar.mp3,audio/mpeg,358289,1,1271082555,1,Sylvie Caspar,Jeanne Robet,interview,français
1016,4,1,Le cri qui va dedans,"<p>Eyesea, extrait de la version acapella de <em>Phobohunt</em>, YouTube, 2009</p>","<p>Eyesea, extrait de la version acapella de <em>Phobohunt</em>, YouTube, 2009</p>",Le_cri_qui_va_dedans.mp3,audio/mpeg,936544,1,1271082559,1,Eyesea,Grégory Castéra,Musique,allemand
1017,4,1,Mademoiselle,"<p>Arletty, extrait de l'émission <em>Le jeu du téléphone</em>, années 60</p>","<p>Arletty, extrait de l'émission <em>Le jeu du téléphone</em>, années 60</p>",Mademoiselle_0.mp3,audio/mpeg,1112379,1,1271082560,1,Arletty,NULL,Radio,français
1018,4,1,Microphone à ruban,"<p>Pierre Schaeffer, source inconnue</p>","<p>Pierre Schaeffer, source inconnue</p>",Microphe_a_ruban.mp3,audio/mpeg,2367299,1,1271082561,1,NULL,NULL,Radio,français
1019,4,1,Modificateur de voix,"<p>Extrait de l'émission <em>La Minute de connaissance</em> sur YouTube, 2009</p>","<p>Extrait de l'émission <em>La Minute de connaissance</em> sur YouTube, 2009</p>",Modificateur_de_voix.mp3,audio/mpeg,294930,1,1271082562,1,NULL,NULL,Télévision,français
1021,4,1,Patronne de la radio,"<p>Auguste Branly, extrait du coffret <em>Pierre Schaeffer :&nbsp;10 ans d'essais radiophoniques 1942-1952</em></p>","<p>Auguste Branly, extrait du coffret <em>Pierre Schaeffer :&nbsp;10 ans d'essais radiophoniques 1942-1952</em></p>",Patronne_de_la_radio.mp3,audio/mpeg,966238,1,1271082589,1,Auguste Branly,Joris Lacoste,Discours,français
1404,4,1,Ces pulsions de haine affreuse,"<p>Catherine Chalier, extrait de l'émission <em>Les Nouveaux chemins de la connaissance</em>, France Culture, 2010</p>","<p>Catherine Chalier, extrait de l'émission <em>Les Nouveaux chemins de la connaissance</em>, France Culture, 2010</p>",catherine_chalier.mp3,audio/mpeg,2914272,1,1297063865,1,Catherine Chalier,NULL,interview,français
1026,4,1,Trois âges de Marguerite Duras,"<div id=""magicdomid102""><span>Marguerite Duras en 1950, 1986, 1990, montage à partir d'entretiens radiophoniques, 2010</span></div>","<div id=""magicdomid102""><span>Marguerite Duras en 1950, 1986, 1990, montage à partir d'entretiens radiophoniques, 2010</span></div>",les_trois_ages_de_marguerite.mp3,audio/mpeg,3644671,1,1297866711,1,Marguerite Duras,NULL,interview,français
1027,4,1,Sangoku,"<p>Yves Lecoq, extrait de la performance <em>Un homme public</em> de Philippe Parreno (collection Frac Bourgogne), 1994</p>","<p>Yves Lecoq, extrait de la performance <em>Un homme public</em> de Philippe Parreno (collection Frac Bourgogne), 1994</p>",Sangoku.mp3,audio/mpeg,2436421,1,1271082593,1,Philippe Parreno / Yves Lecoq,Grégory Castéra,performance,française
1028,4,1,Timeless town,"<p>Leona Anderson, extrait du disque <em>Music to suffer by</em>, 1957</p>","<p>Leona Anderson, extrait du disque <em>Music to suffer by</em>, 1957</p>",Timeless_town.mp3,audio/mpeg,512192,1,1271082594,1,Leona Anderson,Grégory Castéra,Musique,français
1030,4,1,Une énorme boule de feu,"<p>Maurice Serfati et Henri Virlogeux, extrait du disque <em>L'Étoile mystérieuse</em>, 1962</p>","<p>Maurice Serfati et Henri Virlogeux, extrait du disque <em>L'Étoile mystérieuse</em>, 1962</p>",Une_enorme_boule_de_feu_0.mp3,audio/mpeg,911516,1,1271082596,1,Maurice Serfati et Henri Virlogeux,NULL,théâtre,français
