1184,4,1,"Continuez toujours","<p>Pierre Velay, extrait du disque <em>Accouchement sans douleur</em>, années 60</p>","<p>Pierre Velay, extrait du disque <em>Accouchement sans douleur</em>, années 60</p>",continuez_toujours.mp3,audio/mpeg,709539,1,1297063875,1,NULL,NULL,tutoriel,français,17.6849,0:18,54,28,Cadences
242,3,1,Didgeridoo,"<p>Chant aborigène australien, extrait de <em>Les Voix du monde : une anthologie des expressions vocales</em>, 1996</p>","<p>Chant aborigène australien, extrait de <em>Les Voix du monde : une anthologie des expressions vocales</em>, 1996</p>",Didjeridoo.mp3,,0,1,1259260603,1,"Aborigène Arnhem Land",NULL,Musique,"langue aborigène",39.471025,0:39,54,29,Cadences
1185,4,1,"Célèbre avenue","<p>Extrait de l'émission <em>Questions pour un champion</em>, années 2000</p>","<p>Extrait de l'émission <em>Questions pour un champion</em>, années 2000</p>",40_celebre_avenue.mp3,audio/mpeg,1246480,1,1339259401,1,"Julien Lepers",NULL,Télévision,français,31.0596,0:31,54,30,Cadences
233,3,1,"Cartoon de Grain","<p>Extrait d'un commentaire de tiercé, 2007</p>","<p>Extrait d'un commentaire de tiercé, 2007</p>",cartoon_de_grain_0.mp3,audio/mpeg,1950876,1,1297413776,1,Tiercé,"Fanny de Challié",Télévision,français,48.718375,0:49,54,31,Cadences
1186,4,1,"Double time","<p>Subzero, extrait d'une session d'enregistrement postée sur YouTube, 2008</p>","<p>Subzero, extrait d'une session d'enregistrement postée sur YouTube, 2008</p>",double_time.mp3,audio/mpeg,704308,1,1297080484,1,Subzero,NULL,rap,anglais,17.5543,0:18,54,32,Cadences
1197,4,1,"I shot Reagan","<p>Olivier Quintyn, extrait du supplément CD à la revue Nioques 1.9/2.0, 2003</p>","<p>Olivier Quintyn, extrait du supplément CD à la revue Nioques 1.9/2.0, 2003</p>",i_shot_reagan.mp3,audio/mpeg,2679167,1,1297080596,1,"Olivier Quintyn",NULL,performance,français,66.925725,1:07,54,33,Cadences
1187,4,1,Trava-lingua,"<p>Exercices de prononciation en portugais, enregistrement personnel de Tiago Pereira, années 2000</p>","<p>Exercices de prononciation en portugais, enregistrement personnel de Tiago Pereira, années 2000</p>",tonguetwisters_1_0.mp3,audio/mpeg,1550695,1,1297081177,1,NULL,NULL,coutume,portugais,38.713475,0:39,54,34,Cadences
1763,4,1,"Santa Cruz","<p>Extrait d'un rituel d'exorcisme portugais, enregistrement de Tiago Pereira, 2010</p>","<p>Extrait d'un rituel d'exorcisme portugais, enregistrement de Tiago Pereira, 2010</p>",33_santa_cruz.mp3,audio/mpeg,1342611,1,1331743326,1,sorcière,NULL,Rituel,portugais,33.462875,0:33,54,35,Cadences
226,3,1,"Auction chant","<p>John Korrey, vente aux enchères, extrait du DVD <em>Chant of a Champion</em>, 2007</p>","<p>John Korrey, vente aux enchères, extrait du DVD <em>Chant of a Champion</em>, 2007</p>",Auction_chant.mp3,,0,1,1259260596,1,"John Korrey","Frédéric Danos",Enchères,anglais,117.47265,1:57,54,36,Cadences
1119,4,1,"Dedication to the tackling of the Beast and the Dragon","<p>Elizabeth Clare Prophet, Church Universal and Triumphant, extrait de la compilation&nbsp;<em>The Souds of American Doomsday Cults</em>, 1984</p>","<p>Elizabeth Clare Prophet, Church Universal and Triumphant, extrait de la compilation&nbsp;<em>The Souds of American Doomsday Cults</em>, 1984</p>",I_call_upon_the_sacred_fire.mp3,audio/mpeg,1756486,1,1291405067,1,"Elizabeth Clare Prophet","Grégory Castéra",Rituel,anglais,176.0392,2:56,54,37,Cadences
1188,4,1,"The rent is too damn high","<p>Jimmy McMillan, extrait d'un débat pour le poste de gouverneur de New York, 2010</p>","<p>Jimmy McMillan, extrait d'un débat pour le poste de gouverneur de New York, 2010</p>",the_rent_is_too_damn_high.mp3,audio/mpeg,1577857,1,1297081158,1,"Jimmy McMillan",NULL,Discours,anglais,39.392675,0:39,54,38,Cadences
